,comment
1420,"У меня такое чувство что клинический психолог-женщина в этом выпуске понимает мотивы хуже преступницы, нежели мужик следак"
1421,"Очень рада, что Саша вернулась) Но хотелось бы какого-нибудь диалога или простого общения на тему расследования, а то данный формат звучит как новости по телевизору, даже интонация у Саши новостная"
1422,"Саша, спасибо за прекрасную журналистскую работу. Восторг! ️"
1423,"С Пичущкиным ее свести надо было, идеальная пара была бы"
1424,Как можно ставить лайк такому сюжету у меня палец не поднимается 
1425,"то самое чувство когда делаешь 40 покушений, 13 удачных убийств и получаешь в виде наказания 10 лет тюрьмы) Ох уж эти справедливые законы)"
1426,"Какой шикарный формат! Саша, спасибо вам и команде "
1427,"Почему под Сашин голос так приятно засыпать? Речь про маньяков и трупы, аж неудобно "
1428,"Следователь , просто потрясный дядька !"
1429,"Тот самый блогер, которому говоришь спасибо прежде чем посмотришь ролик. Спасибо, Саша, за то, что слышишь своих поклонников. Мы все очень хотели, чтобы ты создала свой канал и очень этого ждали. Удачи тебе. "
1430,"Как же приятно слушать Сашу! Очень качественный и содержательный контент. Потрясно, что участвует также клинический психолог и следователь, это создает полную картину о маньяке. Было бы классно в таком же составе разобрать Теда Банди."
1431,"Интересно читать, как люди начинают оправдывать хладнокровную серийную убийцу"
1432,"Исправить бы ошибку с улицей Сивашской (не Севашской), а так всё супер!)

Очень интересно слушать следователя Миронова!"
1433,"Саша, еще не смотрела, но обязательно это сделаю! Просто счастлива, что вы решили делать такой проект, искренне вас обожаю "
1434,"Ооо! Я ждала этого! 
Бегу наливать чаек и обнимать кота, чтобы было не страшно смотреть историю про маньяка! ️"
1435,ШОК. ЗА ДВУХ ДЕТИШЕК 15 лет????????
1436,Следователя я бы перепутала с тюремщиком 
1437,"Я по названию сюжета сразу догадалась, что речь может идти в этом сюжетее именно о Петровой М. Я знала ее лично, училась тогда, где она преподавала физкультуру. У нее образ был такой, как у волчицы.. походка странноватая была, как у терминатора, особенно на каблуках... ей этот образ не шел, макияж, каблуки... партнер ее преподователь и правда был стареньким -лет 70 и мы тогда не понимали, но мог зайти в душевые (когда был бассейн),чтобы проверить чтобы душ принимали без купальников, извращенец.... он после того, как всплыло это дело скончался... но вернемся к Марии... честно,  многие тогда думали, что она мужчинами не интересовалась... я не понимаю откуда взяли эту инфоомацию, что она хотела и хочет семью... мой вердикт: она и правда амазонка и преступления совершались на почве ненависти к мужчинам... а откуда ненависть, это уже другой вопрос"
1438,"Саша, поздравляю вас с рождением своего канала! Успеха вам! После серии подкастов потеряла вас и расстроилась, что все закончилось( но вы задумали нечто большее для нас) спасибо! Пусть у вас все получтся!"
1439,Саша-очень классная.
1440,этот следователь явно ее защищает и хвалит. странный тип. многих маньяков это сподвигнет на преступлении и то что вы сделали о ней такое длинное видео и то что оно набрало 7 миллионов просмотров
1441,"Александра! спасибо Вам большое за вашу работу… картинка, звук, оформление, подача, тема, вы и ваши герои все на высшем уровне. успехов вам и процветания)"
1442,"сашенька, удачи вам!!
очень рада, что вы сделали этот шаг. 
мы верим и поддержим!"
1443,Страшно. За такое мало дали Оклей и ее соучастникам(дочки и мужу) . За маленькие беззащитные души. Очень мало.
1444,"Все эти сюжеты уже были в легендарной ,,Криминальной России ,, Все ,что в этих выпусках это пересказ уже виденного ранее .Безусловно очень профессионально  и талантливо сделанный !! Но ...это пересказ ."
1445,"Спасибо вам за то, что вы на ютубе и продолжаете проделывать такую работу"
1446,"Урааааа! Как же я скучала! Очень хочется выпусков про опг, про современные их интерпретации, да вообще про всех и все: люди - это так интересно! Сулим, для меня, как Каневский "
1447,"Когда слышишь ""Хорошая советская семья...""и прочее всё что эксперт перечислил, сразу понятно что ничего нормально там нет априори"
1448,Невозможно не отметить красоту и обаяние ведущей
1449,"Обожаю вас, вы безумно интересно рассказывали истории на подкасте Дела, теперь с радостью послушаю вас отдельно<3"
1450,"Вижу Сашу Сулим - подписываюсь ) 
Хочу сказать большое спасибо Саше за книгу «Тихое место» - это титаническая журналистская работа 
Жутко от того, что такое происходит. Но после книги я стала замечать, что стала больше беречь себя: не ходить по темноте при возможности, обходить странные переулки. Берегите себя!  всем мир"
1451,Про С.В Ряховского интересно бы сюжет посмотреть.
1452,Ужас 
1453,"Саша , какое счастье видеть и слышать вас снова в формате трукрайм , спасибо вам за ваш труд "
1454,"Александра, безмерно Благодарю Вас за труд, пожалуйста, не останавливайтесь!"
1455,"Обложка жуткая,аж мурашки"
1456,"Отличное видео  подписался на канал.
Лайк НЕ поставил, по причине рекламы в ролике. Благодарю."
1457,"Саша, Рада увидеть ваш личный канал! С радостью буду смотреть тут.. а то бегать за вашими подкастами по каналам напрягало. Поражаюсь Вами, такая маленькая и хрупкая девушка, а занимается такими жуткими преступлениями.
Удачи и успехов!"
1458,"Пипец я в шоке, зачем усыновлять детей если их ненавидишь и убиваешь️ Какой ужас просто! Что в голове у таких людей… Это же псих расстройства"
1459,"Не понимаю все так судят бедного следака, как по мне он ничего прям такого не сказал. Чел конечно странный, но прям женоненавистничества лютого в нем нет, он ее за мини-юбки и тд не осуждал. Изнасилование ее не травмировало он сказал ссылаясь на ее собственные слова."
1460,"15 лет за убийство и расчленение ????????
4 года за соучастие ????????"
1461,"Саша!!! Это было очень интересно!!! Офигенная подача, очень классно, что история разбавляется другими подысториями. Спасибо большое! Поздравляю с дебютом!"
1462,Почти 2 миллиона просмотров за двое суток! Полностью заслуженно!  Поздравляю вас.
1463,"а я то думал куда ""тот"" подкаст пропал. а оказывается Саша поняла насколько она может быть популярна сама. хотя закос под НТВ 90ых-начала 2000ых сразу чувствуется))) это странно"
1464,"Прочитала много комментариев, и пришла в ужас, все отрицательно относятся к Миронову, из за слов, об изнасиловании, вы не слышите или смотрите на перемотке кусками не понимая смысл сказанного, он говорит с её слов, а не от себя, 33:00 вот так поражается неприязнь к человеку, когда не слушаешь внимательно или перематываешь!"
1465,"Как я рада, что Саша создала свой канал "
1466,"Как я рада, что вы продолжаете свое дело на ютубе. Теперь не могу слушать другие тру-крайм подкасты, если там нет вас. Очень нравится ваша подача, спасибо, что продолжаете этим заниматься🥹"
1467,"у меня сложилось впечатление, что опер ей восхищается"
1468,"этот следователь такой странный, для него изнасилования ничего не значит? рассказывает будто это какая то шутка"
1469,"Саша, спасибо за вашу работу! Интересная тема, комментарии экспертов, которые помогают посмотреть на проблему с разных точек зрения и сделать вывод самостоятельно, и, конечно, ваш профессионализм - ставлю жирный лайк и посылаю лучи поддержки! "
1470,"Саша, поздравляю с открытием канала! Очень скучали по твоим криминальным историям.  Ждём новых выпусков "
1471,"Не знаю почему, материал хорошо, но ведущая меня раздражает просто на каком то ином уровне. Помогите "
1472,"Страшилки от Саши , прям детство вспоминаю . Только это факты, к сожалению…"
1473,"Наконец-то!!! Я, как ребёнок, выросший на ""Криминальной России"", давно испытываю голод от недостатка подобного контента. Спасибо Вам, Саша, что задали подобному контенту новый уровень. Это прям Ваше, уже сложно представить эту категорию без Вас. Спасибо Вам. Вы лучшая!!!"
1474,"Спасибо. За формат, за истории, за самостоятельность и уход из подкаста, где собеседники часто были лишними."
1475,"Спасибо, что замазали лица детей. Это ценно."
1476,"Как можно было в 1983 году продать квартиру? Автор похоже не в курсе, что продавать квартиры тогда было невозможно."
1477,"Я смотрела ""дела"" на одном дыхании. Тот формат мне очень понравился. И тембр голоса и звуковое сопровождение и рассказ самой Саши, как бы от себя. Это было уникально)
Посмотрела этот фильм, нуууу.. как-то стандартно. Как делают другие. И голос, как будто не Сашин и речь не от себя, а по тексту. Как буд-то Сашину индивидуальность съела попытка сделать более ""профессионально"", ""как принято"". 
Вообще, наверное, формат беседы и обсуждения в ""делах"" давал такой эффект уютной обстановки.
А здесь мне понравилось, что добавили истории о других преступниках. Интересно)"
1478,"Саша, спасибо большое за то, что вы продолжаете радовать нас новым качественным контентом!️"
1479,50:35 - я бы испугался с ней так обниматься! Такой взгляд у нее - прям лед растопит своей теплотой! :))
1480,Обесценивание травматического опыта жертвы изнасилования от мужчины – ️
1481,"Саша, как приятно вас видеть на собственном канале! Желаю вам большой удачи и успехов в продвижении канала, спасибо вам за контент, который вы делаете!"
1482,"Саша, поздравляю вас с новым проектом! Отрадно, что подкаст перерос в такой проект. Очень хочется,  чтобы история героя ролика в его убийствах была рассмотрена подробнее по каждому инциденту, как в проекте «Дела» от Вашего лица. Наверное выйдет дольше по хронометражу, но это давало бы полную картину о преступнике с его «биографией преступлений». Спасибо за Вашу работу"
1483,"Мне так нравится  «Она жила в нормальной семье, все хорошо, стандартно, ничто не предвещало убийств» на одном ряду с  «её изнасиловали» «у неё шизофрения»  Это типо как  Если её изнасиловали и у неё шизофрения пусть и в легкой форме - это не стандартный типичный человек, нет? И если у неё шизофрения, и она воспринимает даже небольшую опасность как очень большую опасность - ну…"
1484,Александра Сулим надеюсь что вы это прочитаете а сделайте пожалуйста про Сибирского потрошителя Александр Николаевич Спеси́вцев свое расследование очень Вас об этом прошу от вас будет это послушать безумно интересно очень надеюсь что вы прочитаете мой комментарий
1485,"Саша, отличный формат и прекрасная подача материала! Как же классно, что Вы одна ведёте и никто не перебивает. Приятные гости. Спасибо.
П.С. Вы красивая, умная, обоятльная и дай Бог чтобы ваш канал рос подписчиками и было много разных выпусков "
1486,"Кайф. Вот тот формат, никаких неуместных шуточек и тупых комментариев. Спасибо, Саша!"
1487,Очень приятно слушать грамотные мысли Дмитрия Миронова завернутые в правильную речь
1488,таких нельзя выпускать
1489,"Просто огромное спасибо за это видео ,я желаю вам развиваться .Очень приятно слушать девушку (образ,подача информации на высшем уровне!)В этом видео нет монотонности,интересно слушать не только ведущую,но и психолога со следователем ,которые дают свою оценку истории(что не мало важно) Этот канал просто остался в сердце)"
1490,"Знаете насколько бывает жутко осознавать, что ты живешь в месте, где некогда орудовали убийцы. Буквально на соседней улице от меня жил Пичушкин, через дорогу Битцевский лес. А теперь ещё и она. Странные эмоции появляются в этот момент."
1491,"Привет, Саша Сулим!"
1492,"Саша,я ваш фанат.️️"
1493,"Очень Рада за Сашу, давно считаю, что ей нужен свой собственный канал"
1494,"Первый раз вижу, чтобы первое же видео на чем-то канале набирало 1,5 млн просмотров))
Поздравляю!
Материал, как всегда, качественный и интересный!"
1495,Оклей дали всего 15 лет. Ей лет 200 надо было дать
1496,"Всегда надо быть готовым ко всякого рода преступлениям, так как некоторые ничтожества, абсолютно не похожи на таковых. Быть на чеку всегда и везде."
1497,"Здравствуйте, Саша. Вы были единственным исключением, который я продолжала смотреть даже в ВК, но сейчас очень рада вам на ютубе, спасибо за вашу позицию и ваш выбор. Будут ли приниматься донаты на бусти, патреоне или любым другим способом? Хочется поддержать ваш канал"
1498,"Сколько внимания этой мадам. Психиатр аж фильм в Голливуде желает снять. А эти убитые мужчины (которые были виноваты только в том, что проходили мимо) были кому-то сыновьями, отцами, любимыми... Пусть эта физручка горит в аду, как и все остальные убийцы!"
1499,"Саша Сулим,спасибо Вам ,что пошли на это и сделали шаг в этом направлении журналистики!"
1500,"Странно, что следователь так привязался к Петровой, хотя и понятно, что только из-за материальной выгоды. 
У меня сложилось впечатление, что если она выйдет из психушки, то первым прирежет именно его."
1501,"Поздравляю с первым видео на твоём канале! Обожаю твои подкасты, большое спасибо за то, что ты делаешь!!!"
1502,"Расскажите, пожалуйста, про резонансное дело Марины Кохал, которая в 2020 году убила и расчленила своего мужа. И вообще было бы интересно послушать про феномен ""Расчленинграда"""
1503,"Думаю, очень здорово было бы осветить тему пожирающей матери/всепоглощающей материнской любви. Хороший пример - Леонарда Чанчулли (Чанкулли). К сожалению, ситуация в жизни очень распространенная, особенно в комбинации мать+сын, и часто приводит к трагедии."
1504,Мужику-эксперту не очень доверяю. Его версии звучат как его собственные фантазии
1505,"Саша, спасибо.
Обожаю Вас слушать!
Очень рада,полный вперёд!!"
1506,Саша - вы крутая! А ваши подкасты тру крайм великолепны 
1507,Обалдеть!! столько лет убивать людей втихаря. А теперь людям сроки дают за мысли и слова!!
1508,Саша ты лучше всех маньячек и следачек!
1509,"Удивляет, что многим не понравился следователь. Меня наоборот поразило, как ""душевно"" он вел свое дело, пытаясь вникнуть в психологию убийцы. И за этими ""да он ей будто восхищается"" люди не видят того, что он своим человечным подходом смог разговорить убийцу, не развалить дела и добиться максимально долгой изоляции ее от общества. Это в стране, где человеку за многолетнее удерживание двух девушек в подвале с ежедневными изнасилованиями дали только 14 лет, после чего выпустили на свободу. Просто браво, как по мне."
1510,"Случайно попала на этот канал и была приятно удивлена замечательной подачей материала. Сразу услышала, насколько правильна речь ведущей, очень понравились интонации, приятный голос и отношение ведущей к тексту. В общем, спасибо, а с меня подписка и Like. Привет из Канады  "
1511,"То чувство, когда к следаку вопросов больше, чем к преступнику"
1512,"На рассказе про Оклеев сердце замерло…ужас, не могу справится с эмоциями"
1513,"Спасибо большое за интересные истории про маньяков, мой сон стал крепче. Ваш голос успокаивает,несмотря на всю жесть️"
1514,"Сашенька, спасибо за вашу книгу! Читала залпом! Из-за неё буду поддерживать вас на любой платформе! Как в вас, такой красивой куколке такой стержень внутри прячется, я не знаю! Но вы точно на своём месте"
1515,"Крест Субботы у дядьки, крутой)"
1516,Спасибо
1517,"Девочки вы тоже зашли сюда 
«расслабиться»  после тяжелого рабочего дня с кружкой заварной ромашки?"
1518,Вы легендарная журналистка. Я чувствую это и пусть Вас это не смущает
1519,"У следователя проф деформация наступила, видимо, долго в органах проработал, стал испытывать эмпатию и даже симпатию к убийце. Не важно, что ею двигало она отняла жизни двух ни в чем не повинных людей и троих ранила, они чьи-то сыновья, мужья, отцы, дедушки из сочувствия к потерпевшим нельзя говорить на камеру такие вещи, что ее история ему интересна, что он хочет про нее фильм снять. Даже через 20 лет, раны  людей, потерявших близких из-за ""охотницы"" не зажили. Псих- больная она или нет,   она преступница, не ручкаться с ней, ни по человечески дружить он, как представитель закона и справедливости не должен, она человеческий закон преступила, по сути, без явных на то причин, такие люди навсегда должны быть вычеркнуты из социума, это их наказание. Оборону, месть, защиту, случайность еще можно понять и оправдать, а вот такое убийство ради забавы, ""охоты"", самоутверждения - нет."
1520,"В Смысле экранизировать, меня прям удивила реакция этого мужчины, как будто они там с ней кореша какие-то"
1521,"Саша спасибо,что не оставили нас на долго без контента "
1522,"Саша просто зачаровывает. Видео, начиная от материала и экспертности, заканчивая заставкой - бомбическое. Лучи поддержки и любви"
1523,"Ого, Краснодон - мой родной город, помню эту историю про семью Оклей. Они жили в соседней со мной многоэтажке."
1524,"ужасно жалко ее и ее жертв. Это наверно единственный маньяк на канале  вызывающий такие эмоции. У самого схожий психотип, и понимаю, что нужно сильно постараться, чтоб такой человек встал на путь безумного насилия. Такие люди тяжелее переваривают травмирующие события тк замкнуты нас себя"
1525,"я всю дорогу ""нет, я не люблю тру краймы, не буду смотреть, пусть даже от Саши Сулим"" и что в итоге? конечно же как только вышел выпуск - смотрю "
1526,"Мне тоже нравилось, когда Саша своими словами рассказывала, но там комики иногда делали очень глупые замечания, или демонстрировали непонимание темы. Про женщину мне кажется, что она вот таким диким способом пыталась вернуть себе субъектность после изнасилования."
1527,"Такого типа истории можно слушать только из уст Анны Ханны, остальные просто ни в какое сравнение с ней не идут."
1528,"Хочу отметить то, как деликатно мужчина рассказывает описывая девушку . То как одевалась , то как посмеивались над ней."
1529,"Александра вы лучшая! 
Просмотрел все «дела» расстроился что они перешли на ВК. 
Но как же я сейчас рад что вы запустили свой канал тут! Вы просто замечательная! Подписка сразу же) люблю вашу подачу и вас"
1530,Саша! Невероятно интересный выпуск! Слышала историю по ТВ о Тамаре Иванютиной. Кровь в жилах стынет от ее жестокости. Как и от других рассказанных женщинах-убийцах.
1531,Как же меня выбесил этот оперуполномоченный! Вообще всё перекаверкал! Реально женщины и мужчины - с разных планет!
1532,какой приятный голос!
1533,"Саша, вы большая молодец! И здорово, что такие приглашенные гости. В «делах» был такой более домашний вайб, чтоли. Как будто на кухне рассказывают страшилки, а тут прям так профессионально все выглядит. Но, в любом случае, и там, и тут есть свои плюсы"
1534,"Саша, расскажите, пожалуйста, про эти закрытые спецпсихбольницы. Люди сочиняют уймы городских легенд, что выпустят и Спесивцева, и других…. а как там на самом деле"
1535,Зачем отпускать убийц? Пожизнено в психбольницу.
1536,"Что за законы там у вас , мол убила двух детей , а дали только 15 лет вы что её надо по жизни растерзать , а ему дали 4 года , а одной воопще нечего, беремена  А почему у вас судьи не болит душа и сердце за муки тех умерших в муке детей"
1537,"Александра, спасибо вам за выпуск, очень интересная история, о которой я никогда не слышала. Очень бы хотелось услышать от вас историю загадочного ""Барнаульского маньяка"", о котором очень мало информации... вроде кто-то признался... но история темная... а ведь от его рук погибло минимум 9 девушек ...Жду с нетерпение следующий выпуск. !!!!"
1538,"Саша  Как и многие отписавшиеся (и ещё больше тех, кто отмолчался) - очень рад видеть новый контент ️
Спасибо, что не бросаешь нас, спасибо, что не ушла на другую площадку и удачи во всём!
Много-много сердечек и лучей поддержки "
1539,Следователь супер!
1540,"Это что за сроки?в приемной семье -убили,сожгли,расчленили и 15 лет и 4 года мужу?"
1541,"Как то оперуполномоченный пренебрежительно отозвался об акте изнасилования. Ну, встала, ну, пошла, ну, не поздоровалась. Может так оно и на самом деле было, но это не отменяет факта самого насилия, а он будто оправдывал действия  это тяжкое преступление ведь. 0:56"
1542,"Мда, у человека псих расстройство, родители постоянно угрожающие психушкой, изнасилование, а криминалист такой, ну нормально всё у нее, ничего такого, всё как у всех"
1543,"Утреннее чаепитие
.
Пить с нею чай, как пить Lambrusco,
что дарит виноградный хмель
двум чаепьющим, сонным русским,
жующих торт и карамель.

Вкус сладостей и дух рассвета
смешались с запахами трав,
что за окном цветного лета,
какое нас спаяло в сплав.

Он означает дружбу пары,
что в теме грязи и искусств,
и от какого веет жаром,
а также тонким флёром чувств.

Пломбир, вельвет и хлеб беседы
под парой люстр в тишине,
слова поэта с непоседой
ещё теплей наедине..."
1544,"На словах про амазонку поперхнулась. Это точно следователь? Жутковато ощущение что он сам не совсем здоров. 
Да и выражения вроде ""таскала"" - не профессионально, а подзаборно как-то.. 
Он влюблен в ненормальную убийцу, как он мог там что-то расследовать"
1545,"Моё почтение Саше и гостям, особенно понравился следователь, не дуболом который обругает преступника,  а старается разобраться и быть объективным и к преступнице и жертвам."
1546,"Люди, которые пишут комменты, не видели других интервью этого следователя. Он адекватный и никого не обесценивает. Вы просто абсолютно не поняли о чем он говорит. А говорит он о том, как она ему рассказывала эти истории, а не то, считает ли он эти истории кошмаром. И кстати, есть огромное количество женщин переживших надругательство и избиения и похлеще чем с ней было, но убийцами не стали"
1547,"Я прожила с мужем 14 лет перед разводом случайно нашла его приговор, справку об освобождении. Оказалось был судим на 8 лет ( отсидел 7 , 5 по УДО) за изнасилование и разбой группой лиц. Представьте, что я пережила!! А с ним начинала жить с 13летней дочерью!!! от прежнего брака. НИКТО из его семьи за 14'лет мне слова не сказали!! Жалею, что сын от него."
1548,"Что толку ловить маньяков , если путин 15 лет дает , а за правду про сво 20 "
1549,"Хотелось бы услышать версию Саши Сулим о профессоре Соколове и его преступлении - как так у старика в голове переклинило, что он пошел на такое зверство Вот для такого формата было б идеально, как мне кажется."
1550,"Тут многие уже написали о странных выводах следока про моральное насилие в доме у девушки и про её изнасиловании. Но если обратить внимание на её жертв. Первый вроде к ней приставал, но другие были пожилые мужчины, взрослые, но не деды и это наводит мысль на её отца. Очень похоже всё таки главный объект ненависти это её отец. Он избивал мать до больницы, но нет информации как он вёл себя с дочерью. Не думаю, что ребенок выросший в любящей семье и не подвергавшийся насилию и унижениям пойдёт на убийство."
1551,"Изнасилование уничтожило её душу и жизнь. 
И скольких ещё погубит. 
Мужчина совершивший с ней такое не заслуживает быть на свободе и на этом свете , а ей должно было быть оказано соответствующее лечение ещё тогда в 11 году, 20 лет в лечебнице такого рода навсегда уничтожило надежду на ее выздоравливание и тем более счастливую, здоровую жизнь"
1552,"Это лучшее наглядное пособие для понимания чем практик отличается от теоретика. Сидит женщина-отличница ""в методичках написано так, такие то виды есть, ну наверное, ну я думаю"". Ничего не понимает кроме методичек. И практик, который лично общался с убийцей и совершенно по другому все раскладывает."
1553,"Невероятно приятная Саша, хочется смотреть и слушать. Речь, голос, мимика, подача - все очень приятно уху, глазу и мозгу."
1554,"Саша, вы - лучшая! хотелось бы формат повествования как в ""делах"", этот формат воспринимается больше как новости какие-тo, которые не послушать просто лежа на кровати, вайб не тот. Желаю вам успехов на вашем новом канале"
1555,"42:43 что то мне тоже этот следователь не симпатизирует. Сама девушка ничего не сказала о том, что ей нравилось убивать, а следователь сделал такой вывод пообщавшись с ней. В других выпусках были следователи как-то поскромнее. Они говорили только то, что говорили им сами маньяки и убийцы. И никакие выводы не делали только потому, что долго общались. Совсем недавно смотрела ролик про ""маньяка-проститута"" и там следователь, общался с ним буквально сутками, с психически не здоровым человеком и пока этот маньяк сам не рассказал свои мотивы, следователь не делает никаких выводов. Потому что чужая душа потемки, ты можешь приблизительно понимать, почему тот или иной человек сделал какую-то вещь. Но пока он сам не скажет свои мотивы, ты не можешь быть ни в чем уверен, просто примерив это на себя. То есть следователь со своей колокольни смотрит: ""вот если бы я был женщиной и убивал, то почему бы я это делал? Вот потому что только так почувствовал бы себя женщиной, мне хотелось бы быть хищницей, амазонкой, быть на равне с мужчиной"". Это как то совсем не правильно. Из выпуска, слов психологов, мне больше показалось, что она убивала ради самозащиты. Взяла нож ради самозащиты. Ей показалось что какой то мужчина домогается до неё и она его убивает. Не потому что хочет убивать, а больше из страха. Конечно у неё психических проблем вагон и маленькая тележка, но, как говорилось в начале выпуска, женщины редко убивают ради удовольствия. А следователь такие выводы делает основываясь ни на чем. Просто вот ""так я думаю""."
1556,"Весело было  жить в Зюзино - с одной стороны Петрова, с другой - Пичушкин. Вот это контент был"
1557,"Привет ,Саша. Очень интересно смотреть твои выпуски. От подробностей убийства жертв,аж мурашки по телу бегут. Очень хотелось бы услышать про дело белорусского маньяка : Геннадия Михасевича. Чьи  убийства послужили основой для создания сериала «Душегубы»"
1558,"Страшно было смотреть, но очень понравилось! Саша, успехов "
1559,"К следователю есть вопросы.Согласна с теми,кто говорит,что он эту историю романтизирует,что у него явная симпатия к преступнице.Честно,поймала себя на мысли,что у них даже была физическая связь.
И то,как подчеркнули,что только ему удалось её разговорить и то,что он фильм собирается снять,нууу извините)))"
